addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x01ffb0d0	DIVERGED	itcm	_ZNK7dBgW_Kc13GetUnkOctreeYEv	function	_ZNK12MeshCollider13GetUnkOctreeYEv	function	class-rename	_ZNK7dBgW_Kc13GetUnkOctreeYEv	
0x01ffb0ec	DIVERGED	itcm	_ZNK7dBgW_Kc16GetOctreeOriginYEv	function	_ZNK12MeshCollider16GetOctreeOriginYEv	function	class-rename	_ZNK7dBgW_Kc16GetOctreeOriginYEv	
0x01ffb0fc	DIVERGED	itcm	_ZN7dBgW_Kc10DetectClsnER9dBgCh_Lin	function	_ZN12MeshCollider10DetectClsnER11RaycastLine	function	class-rename+arg-rename	_ZN7dBgW_Kc10DetectClsnER9dBgCh_Lin	
0x01ffb830	DIVERGED	itcm	_ZN7dBgW_Kc10DetectClsnER12dBgCh_SphCrr	function	_ZN12MeshCollider10DetectClsnER10SphereClsn	function	class-rename+arg-rename	_ZN7dBgW_Kc10DetectClsnER12dBgCh_SphCrr	
0x01ffd3f8	DIVERGED	itcm	_ZN7dBgW_Kc10DetectClsnER9dBgCh_Gnd	function	_ZN12MeshCollider10DetectClsnER13RaycastGround	function	class-rename+arg-rename	_ZN7dBgW_Kc10DetectClsnER9dBgCh_Gnd	
0x01ffd890	DIVERGED	itcm	_ZN7dBgW_Kc17GetTriangleOriginEsR7Vector3	function	_ZN12MeshCollider17GetTriangleOriginEsR7Vector3	function	class-rename	_ZN7dBgW_Kc17GetTriangleOriginEsR7Vector3	
0x01ffd8d8	DIVERGED	itcm	_ZN7dBgW_Kc9GetNormalEsR7Vector3	function	_ZN12MeshCollider9GetNormalEsR7Vector3	function	class-rename	_ZN7dBgW_Kc9GetNormalEsR7Vector3	
0x01ffd920	DIVERGED	itcm	_ZN7dBgW_Kc14GetSurfaceInfoEsR11SurfaceInfo	function	_ZN12MeshCollider14GetSurfaceInfoEsR11SurfaceInfo	function	class-rename	_ZN7dBgW_Kc14GetSurfaceInfoEsR11SurfaceInfo	
0x01ffe684	NO-SLOT	-	-	-	__aeabi_uldivmod	data	no-slot		
0x02004800	DIVERGED	arm9	Entry	function	_start	function	plain		
0x02004b00	NO-SLOT	-	-	-	OBJ_TO_ACTOR_ID_TABLE	data	no-slot		
0x02004ffc	NO-SLOT	-	-	-	DL_PTR_ARR_PTR	data	no-slot		
0x02005d94	DIVERGED	arm9	_ZN11dCapEnemy_c12Unk_02005d94Ev	function	_ZN8CapEnemy12Unk_02005d94Ev	function	class-rename	_ZN11dCapEnemy_c12Unk_02005d94Ev	
0x02005f0c	DIVERGED	arm9	_ZN11dCapEnemy_c21DestroyIfCapNotNeededEv	function	_ZN8CapEnemy21DestroyIfCapNotNeededEv	function	class-rename	_ZN11dCapEnemy_c21DestroyIfCapNotNeededEv	
0x02005fa0	DIVERGED	arm9	_ZN11dCapEnemy_c11GetCapStateEv	function	_ZN8CapEnemy11GetCapStateEv	function	class-rename	_ZN11dCapEnemy_c11GetCapStateEv	
0x02006054	DIVERGED	arm9	_ZN11dCapEnemy_c15RespawnIfHasCapEv	function	_ZN8CapEnemy15RespawnIfHasCapEv	function	class-rename	_ZN11dCapEnemy_c15RespawnIfHasCapEv	
0x020060f4	DIVERGED	arm9	_ZN11dCapEnemy_c16GetCapEatenOffItERK7Vector3	function	_ZN8CapEnemy16GetCapEatenOffItERK7Vector3	function	class-rename	_ZN11dCapEnemy_c16GetCapEatenOffItERK7Vector3	
0x020061b0	DIVERGED	arm9	_ZN11dCapEnemy_c10ReleaseCapERK7Vector3	function	_ZN8CapEnemy10ReleaseCapERK7Vector3	function	class-rename	_ZN11dCapEnemy_c10ReleaseCapERK7Vector3	
0x02006280	DIVERGED	arm9	_ZN11dCapEnemy_c14RenderCapModelEPK7Vector3	function	_ZN8CapEnemy14RenderCapModelEPK7Vector3	function	class-rename	_ZN11dCapEnemy_c14RenderCapModelEPK7Vector3	
0x020062b8	DIVERGED	arm9	_ZN11dCapEnemy_c12UpdateCapPosERK7Vector3RK10Vector3_16	function	_ZN8CapEnemy12UpdateCapPosERK7Vector3RK10Vector3_16	function	class-rename	_ZN11dCapEnemy_c12UpdateCapPosERK7Vector3RK10Vector3_16	
0x020063b0	DIVERGED	arm9	_ZN11dCapEnemy_c6AddCapEj	function	_ZN8CapEnemy6AddCapEj	function	class-rename	_ZN11dCapEnemy_c6AddCapEj	
0x020064e0	DIVERGED	arm9	_ZN11dCapEnemy_c14UnloadCapModelEv	function	_ZN8CapEnemy14UnloadCapModelEv	function	class-rename	_ZN11dCapEnemy_c14UnloadCapModelEv	
0x0200651c	DIVERGED	arm9	_ZN11dCapEnemy_cD1Ev	function	_ZN8CapEnemyD2Ev	function	class-rename+dtor-variant	_ZN11dCapEnemy_cD1Ev	
0x02006554	DIVERGED	arm9	_ZN11dCapEnemy_cC2Ev	function	_ZN8CapEnemyC2Ev	function	class-rename	_ZN11dCapEnemy_cC2Ev	
0x02006590	NO-SLOT	-	-	-	ACTOR_SPAWN_TABLE	data	no-slot		
0x02008c34	NO-SLOT	-	-	-	_ZN4cstd4finvEi	data	no-slot		
0x0200d184	DIVERGED	arm9	_ZN6Camera10LookAtExitER8dActor_c	function	_ZN6Camera10LookAtExitER5Actor	function	arg-rename	_ZN6Camera10LookAtExitER8dActor_c	
0x0200e444	DIVERGED	arm9	Camera_Spawn	function	_ZN6CameraC1Ev	function	plain		
0x0200f658	DIVERGED	arm9	_ZN8dActor_c17DetectRaycastClsnER7Vector3S1_b	function	_ZN5Actor17DetectRaycastClsnER7Vector3S1_b	function	class-rename	_ZN8dActor_c17DetectRaycastClsnER7Vector3S1_b	
0x0200f70c	DIVERGED	arm9	_ZN8dActor_c22IsTooFarAwayFromPlayerE5Fix12IiE	function	_ZN5Actor22IsTooFarAwayFromPlayerE5Fix12IiE	function	class-rename	_ZN8dActor_c22IsTooFarAwayFromPlayerE5Fix12IiE	
0x0200f7a8	DIVERGED	arm9	_ZN8dActor_c19MakeVanishLuigiWorkER5dCc_c	function	_ZN5Actor19MakeVanishLuigiWorkER12CylinderClsn	function	class-rename+arg-rename	_ZN8dActor_c19MakeVanishLuigiWorkER5dCc_c	
0x0200f874	DIVERGED	arm9	_ZN5Sound20PlaySmallSecretSoundEP8dActor_cPt	function	_ZN5Sound20PlaySmallSecretSoundEP5ActorPt	function	arg-rename	_ZN5Sound20PlaySmallSecretSoundEP8dActor_cPt	
0x0200f8f8	DIVERGED	arm9	_ZN5Sound15PlaySecretSoundEP8dActor_cPt	function	_ZN5Sound15PlaySecretSoundEP5ActorPt	function	arg-rename	_ZN5Sound15PlaySecretSoundEP8dActor_cPt	
0x0200f97c	DIVERGED	arm9	_ZN8dActor_c13SpawnSoundObjEj	function	_ZN5Actor13SpawnSoundObjEj	function	class-rename	_ZN8dActor_c13SpawnSoundObjEj	
0x0200f9b8	DIVERGED	arm9	_ZN8dActor_c24KillAndTrackInDeathTableEv	function	_ZN5Actor24KillAndTrackInDeathTableEv	function	class-rename	_ZN8dActor_c24KillAndTrackInDeathTableEv	
0x0200f9d4	DIVERGED	arm9	_ZN8dActor_c19UntrackInDeathTableEv	function	_ZN5Actor19UntrackInDeathTableEv	function	class-rename	_ZN8dActor_c19UntrackInDeathTableEv	
0x0200f9e4	DIVERGED	arm9	_ZN8dActor_c17TrackInDeathTableEv	function	_ZN5Actor17TrackInDeathTableEv	function	class-rename	_ZN8dActor_c17TrackInDeathTableEv	
0x0200f9f4	DIVERGED	arm9	_ZN8dActor_c18GetBitInDeathTableEv	function	_ZN5Actor18GetBitInDeathTableEv	function	class-rename	_ZN8dActor_c18GetBitInDeathTableEv	
0x0200fac4	DIVERGED	arm9	_ZN8dActor_c13LandingDustAtER7Vector3b	function	_ZN5Actor13LandingDustAtER7Vector3b	function	class-rename	_ZN8dActor_c13LandingDustAtER7Vector3b	
